Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Sam,,Teko,low priority,Reusable Packaging ,Consumer Goods ,Philippines,rnl@teko.ph,https://teko.ph/rnl,Yes,,,,Active,Non-profit,Free stainless-steel water bottles given to encourage refills at partner water stations,,,Philippines,,,,,,,,Free stainless-steel water bottles to encourage consumers to refill at participating water stations.
Jishnu,,Teo Straw,low priority,Zero Waste,Consumer Goods,Vietnam,https://teostraw.bigcartel.com/contact,https://teostraw.bigcartel.com/,Yes,,,,Active,Private rural social enterprise,"Compostable grass straws from wild sedge (closed-loop harvest cycle, no chemicals)",,,Vietnam,,,,,,,,Rural enterprise crafting compositble grass straws from wild sedge in a closed loop harvest to product cycle without chemicals or waste.
Jishnu,,Terra Refill,"26/06, Jishnu",Refillable Products,Consumer Goods,Mexico,hola@terrarefill.com,https://terrarefill.com/,Yes,,,,Active,Private,Zero-waste bulk store — BYOC refills in-store and online,,,Mexico,,,,,,,,Zero-waste store stocking bulk groceries and home goods—customers refill their own containers in-store and online.
Selina,,TerraCycle,not suitable currently,Recycling,Hard-to-Recycle Materials,United States,customercare@terracycle.com,https://www.terracycle.com/en-US/,Yes,terracycle,Yes,2001,Active,Private,Hard-to-recycle waste collection + Loop circular packaging system,201-500 employees,,United States and global,,,,,,,,TerraCycle focuses on recycling hard-to-recycle materials and partners with various brands to offer sustainable solutions​
Mehak,,Tetra Pak Paraguay,low priority,Carton recycling for reuse,Beverage cartons,Paraguay,Through local Tetra Pak division,https://www.tetrapak.com/,,,,,,,,,,,,,,,,,,"Facility recycles 1,500 tons/year; promotes reuse chain"
Jishnu,,Thanks to Love zero-waste shop,low priority,Refill Stations,Consumer Goods,South Korea,thankstozero@gmail.com,http://www.thanksto.co.kr/,Yes,,,,Active,Private,"Vegan zero-waste shop and café with bulk refills (soaps, shampoos, detergents, grains)",,,South Korea,,,,,,,,"A vegan‑friendly zero‑waste shop and café offering bulk refills of soaps, shampoos, detergents, oils, vinegars, grains, and snacks in reusable packaging."
Kaat,,The Body Shop,low priority,Refillable Products,Consumer Goods ,Pakistan,Contact Us | The Body Shop®,Home | The Body Shop® | Pakistan,Yes,thebodyshop,Yes,1976,Active (post-administration restructure 2024),"Private (Aurelius Group, acquired Jan 2024)",B2C ethical beauty retail + in-store refill stations,"~7,000 employees (post-restructure)",Retail cosmetics consumers,Global,,,,,,Entered UK administration Jan 2024; Aurelius Group acquired UK business. International franchises continue. Refill scheme ongoing.,,"Refill stations in shops for shower gel, plans to scale up"
Giulia ,,The Clean Kilo ,"01/07, Jishnu",Zero Waste ,Consumer Goods ,United Kingdom,contact@thecleankilo.co.uk ,https://thecleankilo.co.uk/,Yes,,,,Active,Private,Zero-waste supermarket chain focused on refillable groceries and cleaning products,,,United Kingdom,,,,,,⚠ Trading status uncertain — reports of financial difficulties ~2022. Verify independently via Companies House.,,Zero waste supermarket chain in the United Kingdom focused on refillable groceries & cleaning products.
Prathmesh,,The Collective,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,https://www.thecollectivedsm.com/pages/contact-us,https://www.thecollectivedsm.com/,Yes,,,,Active,Private,Natural ingredient low-waste consumer products + vegan production options,,,United States,,,,,,,,Produces low waste consumer products that contain natural ingredients; also promotes vegan production options 
Prathmesh,,The Ditty Bag,"24/06, Jishnu",Zero Waste,Consumer Goods,United States,jasonh@thedittybag.com,https://www.thedittybag.com/,,,,,,,,,,,,,,,,,,"Consumers can bring their own container and weigh the desired consumer goods accordingly, encouraging reuse and consumerism"
Prathmesh ,,The Eco Alchemist,"01/07, Jishnu",Refill Stations,Consumer Goods,Canada,orders@theecoalchemist.com,https://theecoalchemist.com/,Yes,,,,Active,Private,Vegan sustainable products (Canadian stores and online),,,Canada,,,,,,,,Sells vegan and sustainable products at Canadian stores and online 
Jishnu,,The Eco Flamingo,"26/06, Jishnu",Refill Stations,Consumer Goods,United States,hello@TheEcoFlamingo.com  ,https://www.theecoflamingo.com/,Yes,,,,Active,Private,"Zero-waste general store with eco-friendly products, refills and café",,,United States,,,,,,,,"Zero-waste general store with eco-friendly products, refills, and a café promoting sustainable, circular, and ethical living."
Jishnu,,The Eco Refill Station,7/7 Krita,Refill Stations,Consumer Goods ,Australia,hello@ecorefillstation.com,https://ecorefillstation.com/,Yes,,,,Active,Private,Natural household cleaners + BYOC refills for zero-waste accessories,,,Australia,,,,,,,,"Offers natural household cleaners and zero‑waste accessories, allowing customers to bring their own containers for refills."
Jishnu,,The Filling Station Eco Store,"02/07, Jishnu",Refill Stations,Consumer Goods,Ireland,thefillingstationecostore@hotmail.com,https://thefillingstationecostore.ie/,Yes,,,,Active,Private,"Zero-waste grocer with hundreds of refillable food, cleaning and personal care dispensers",,,Ireland,,,,,,,,"A zero‑waste grocer offering hundreds of refillable food, cleaning, and personal care essentials in bulk dispensers."
Prathmesh,,The Good Fill,"26/06, Jishnu",Zero Waste,Consumer Goods,United States,hello@shopthegoodfill.com,https://thegoodfill.co/,Yes,,,,Active,Private,Bulk refills for home and body care in-store and online (reusable aluminium case),,,United States,,,,,,,,"Offers bulk refills for home & body care (like hand soap, shampoo, lotion) in-store and online, with a reusable aluminium case"
Prathmesh ,,The Green Bee,"24/06, Jishnu",Zero Waste,Consumer Goods,United States,thegreenbee22@gmail.com,https://thegreenbee22.com/,,,,,,,,,,,,,,,,,,"Offers sustainable consumer goods and providing minimal packaging, providing a zero-waste solution for the community around"
Prathmesh ,,The Green Collective,low priority,Eco-friendly product ,Consumer Goods,Singapore,hello@thegreencollective.sg,https://www.thegreencollective.sg/,Yes,thegreencollective.sg,Yes,,Active,Private,Reusable and refillable household and personal care goods store,,,Singapore,,,,,,,,"A lot of Eco-Friendly options from cutlery sets to collapsible coffee cups, cotton mesh bags to period cloth pads"
Giulia ,,The Green Collective,45840,Eco-friendly product ,Consumer Goods ,Singapore,hello@thegreencollective.sg,https://www.thegreencollective.sg/,Yes,thegreencollective.sg,Yes,,Active,Private,Reusable and refillable household and personal care goods store,,,Singapore,,,,,,,,Offers reusable and refillable household items for personal care and cleaning.
Prathmesh,,The Green Jar,"26/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,Canada,connect@greenjarshop.com,https://www.thegreenjarshop.com/,Yes,,,,Active,Private,Personal care and home goods in reusable containers with jar deposit system,,,Canada,,,,,,,,Personal care and home goods in reusable containers; promote a unique jar deposit system
Jishnu,,The Green Market,low priority,Zero Waste,Consumer Goods,Indonesia,contact@greenmarketbali.com,https://greenmarketbali.com/,Yes,,,,Active,Private,"Bulk food grocery with self-weigh refill in Bali (groceries, cleaning, lifestyle)",,,Indonesia (Bali),,,,,,,,"Bulk food grocery with eco-friendly items promoting self‑weigh refill of groceries, cleaning and lifestyle products in Bali."
Jishnu,,The Green Tap,"26/06, Jishnu",Refillable Products,Consumer Goods,South Africa,https://www.thegreentap.co.za/pages/contact-us,https://www.thegreentap.co.za/,Yes,,,,Active,Private,Wholesale refills for cleaners and personal care products (promote refill/reuse/reduce),,,South Africa,,,,,,,,"Small business with wholesale refills for cleaners and personal care products promoting refill, reuse and reduction."
Jishnu,,The Greet,low priority,Reusable Products,Business Service Provider,South Korea,contact@thegreet.co.kr,https://thegreet.co.kr/,Yes,,,,Active,Private,Reusable containers as a service with extensive sanitisation and logistics for retailers and cafés,,,South Korea,,,,,,,,Provides reusable containers as a service and manages extensive sanitization and logistics networks for food retailers and cafés to close circular loops.
Prathmesh,,The Mayan Collective,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,https://themayancollective.com/pages/contact-us,https://themayancollective.com/,,,,,,,,,,,,,,,,,,Produces candles and scented products with eco-friendly ingredients in refillable containers
Krita,,The Nature Masons,45845,Refillable Products ,Consumer Goods ,India,thenaturemasons@gmail.com,https://thenaturemasons.com/,,,,,,,,,,,,,,,,,,Aluminium containers for products and refil for shampoo and deodorant
Jishnu,,The Olive Branch,not suitable currently,Refill Stations,Consumer Goods,Ireland,theolivebranch04@gmail.com,https://www.theolivebranch.ie/,Yes,,,,Active,Private,"Zero-waste groceries, refills and community coffee meetups + plastic-free living support",,,Ireland,,,,,,,,Offers zero‑waste groceries and refills alongside community coffee meetups and plastic‑free living support.
Jishnu,,The Pallet LOOP,not suitable currently,Reusable Products,Materials Supplier,United Kingdom,info@thepalletloop.com,https://www.thepalletloop.com/,Yes,,,,Active,Private,Circular reuse of construction transport pallets with deposit-refund return scheme,,,United Kingdom,,,,,,,,Enables circular reuse of transport pallets in construction logistics with deposit‑refund return scheme for each pallet.
Kaat,,The Purest Solutions,"04/07, Jishnu",Refillable products ,Consumer Goods ,Turkey,hello@thepurestsolutions.com,https://thepurestsolutions.com/?srsltid=AfmBOoo0zul4TXPSFpr580lqoeIIhzBCE3g68o-lRuEkfZkJcCmwod_B,,,,,,,,,,,,,,,,,,"Online shop that offers refills for their cosmetics, personal hygiene and household products"
Jishnu,,The Refill Coalition,"02/07, Jishnu",Refill and Reuse supply chain ,Policy/Infrastructure Project,United Kingdom,https://www.linkedin.com/company/gounpackaged/,https://www.refillcoalition.com/,Yes,,,,Active,Non-profit/industry coalition,Industry-standard reusable bulk vessels for grocery supply chain refills at scale,,,United Kingdom,,,,,,,,"A coalition building industry-standard reusable bulk vessels for in-store and home delivery refills of staples and household products, driving scale refill systems across the grocery supply chain."
Prathmesh,,The Refill Company,"01/07, Jishnu",Refillable Products,Consumer Goods,Canada,therefillco@outlook.com,https://therefillco.net/?utm_source=chatgpt.com,Yes,,,,Active,Private,In-store household and personal hygiene product refillery rewarding reuse,,,Canada,,,,,,,,"Mjor refillery offering household and personal hygiene product refills in-store, rewarding reuse"
Jishnu,,The Refillable Van,"03/07, Jishnu",Refill Stations,Consumer Goods,United Kingdom,mobilerefills@refillablevan.com,https://www.refillablevan.com/,Yes,,,,Active,Private,"Mobile BYOC refill service for household, beauty, food and cleaning products",,,United Kingdom,,,,,,,,"Empowers customers to shop for household, beauty, food, and cleaning products using a bring-your-own-countainer model."
Prathmesh,,The Refillary Storehouse,"01/07, Jishnu",Refill and Reuse supply chain ,Food and Groceries ,Canada,info@therefillerystorehouse.com,https://therefillerystorehouse.com/,,,,,,,,,,,,,,,,,,"Sells 250+ non-perishable foods by bulk weight in reusable containers — a fully package‑free, traditional bulk store"
Jishnu,,The Refillery,"25/06, Jishnu",Refill Stations,Consumer Goods ,United Kingdom,https://therefillery.co.uk/pages/contact-us,https://therefillery.co.uk/,Yes,,,,Active,Private,Refill stores with packaging-free groceries and household cleaners + container collection,,,United Kingdom,,,,,,,,Runs refill stores offering packaging-free groceries and household cleaners and collects containers for reuse.
Prathmesh ,,The Social Space,low priority,Sustainable Goods,Consumer Goods,Singapore,hello@thesocialspace.co,https://thesocialspace.co/,Yes,,,,Active,Private,Refill dispensers for laundry detergent and fabric softener + sustainable alternatives,,,Singapore,,,,,,,,"Offers refills at bulk dispensers for laundry detergent, fabric softener, reduces packaging waste by using sustainable alternatives"
Jishnu,,The Source Bulk Foods,not suitable currently,Refill Stations,Consumer Goods ,Australia,https://www.facebook.com/TheSourceBulkFoods/,https://thesourcebulkfoods.com.au/,Yes,thesourcebulkfoods,Yes,2011,Active,Private (franchise model),Package-free food refills in-store and online (franchise model),,,"Australia, New Zealand, UK",,,,,,,,Bulk food retailer originally from Australiaoffering package-free food refills in-store and online operating on a franchise model.
Prathmesh ,,The Sustainability Project,low priority,Refillable Products,Consumer Goods,Singapore,hello@thesustainabilityproject.life,https://thesustainabilityproject.life/,,,,,,,,,,,,,,,,,,"A local project that provides sustainability advocacy, along with eco-friendly alternatives for consumer goods at their shop"
Sam,,The SwapShop,not suitable currently,Reuse and Circular Economy,Consumer Goods,Netherlands,https://www.the-swapshop.com/nl/pages/contact,https://www.the-swapshop.com/nl,Yes,,,,Active,Private,Platform for exchanging clothes and electronics (direct reuse and sharing),,,Netherlands,,,,,,,,"Platform where people can exchange items like clothes and electronics, promoting direct reuse and sharing."
Prathmesh,,The Tare Market,"27/06, Jishnu",Refillable Products,Grocery and Consumer Goods,United States,hello@taremarket.com,https://www.thetaremarket.com/,,,,,,,,,,,,,,,,,,"Offers bulk refills of groceries and consumer goods, available both online and in-person"
Prathmesh ,,The Unwaste Shop,"24/06, Jishnu",Zero Waste,Consumer Goods ,United States,hello@theunwasteshop.com,https://theunwasteshop.com/,,,,,,,,,,,,,,,,,,zero waste store and refill shop committed to eco-friendly products such as plastic-free floss and floss refills
Prathmesh ,,The Wallet Shop,low priority,Sustainable Goods,Consumer Goods,Singapore,https://sg.thewalletshop.com/pages/contact-us,https://sg.thewalletshop.com/,,,,,,,,,,,,,,,,,,"Variety of options of reusable coffee cups, produced sustainably"
Prathmesh,,The Wally Shop,"27/06, Jishnu",Refillable Products,Grocery and Consumer Goods,United States, info@thewallyshop.co,https://thewallyshop.co/,,,,,,,,,,,,,,,,,,Offers Groceries and consumer products with refills in stores and online
Giulia ,,The Waste Free Co.,"04/07, Jishnu",Refillable Products ,Packaging solutions ,Sweden,hello@wastefree.se,https://wastefree.se/,,,,,,,,,,,,,,,,,,"Offers refill stations in supermarkets, hotels and offices "
"Kaat, 29/06",,TheCircularLab,29/06,Reusable Packaging,Packaging solutions ,Spain,https://www.thecircularlab.com/en/contact-us/,https://www.thecircularlab.com/en/,Yes,,,,Active,Non-profit (Ecoembes group),Reusable packaging research and development centre,,,Spain,,,,,,,,Focusses on the development of Reusable Packaging 
Kaat,,Tierra Verde,"04/07, Jishnu",Refillable Products,Cleaning Products,Bulgaria,order@tierraverde.bg,https://tierraverde.bg/en-index-index-0.html,Yes,,,,Active,Private,Refills for cleaning and personal care products,,,Bulgaria,,,,,,,,Provides refills for cleaning and personal care products
Sam,,Tingi Station,low priority,Refillable Products,Consumer Goods ,Philippines,https://tingistation.com/,tingistation@gmail.com,Yes,,,,Active,Private,Dry goods and household items refill (BYOC),,,Philippines,,,,,,,,Lets customers bring reusable containers and refill them with dry goods and household items.
Prathmesh ,,Tip Toe Eco Marketplace,"24/06, Jishnu",Eco-friendly product ,Consumer Goods,United States,https://tiptoellc.com/pages/contact,https://tiptoellc.com/,,,,,,,,,,,,,,,,,,"Maine store provides a selection of local art and Maine Made products, all eco-friendly, aimed at minimizing waste and supporting the planet"
Jishnu,,TIPA,not suitable currently,Zero Waste,Packaging Solutions,Israel,info@tipa-corp.com,https://tipa-corp.com/,Yes,,,,Active,Private,Compostable biodegradable packaging to replace single-use films and wrappers,,,Israel,,,,,,,,"Biodegradable, compostable packaging designed to replace single-use films and wrappers."
Sam,,TNT Bags,low priority,Reusable packaging ,Business Service Provider,Peru,ventas@tntbags.net,https://www.tntbags.com.pe/,,,,,,,,,,,,,,,,,,"TNT Bags produce customisable, durable and reusable bags made from non-woven fabric or compostable materials, designed to replace the thousands of plastic bags with a sustainable alternative."
Giulia ,,TOMRA reuse ,not suitable currently,Reusable Packaging ,Packaging Solution ,Denmark ,+47 66 79 91 00,https://www.tomra.com/reusable-takeaway-packaging,Yes,tomra_as,Yes,1972,Active,Public listed (Oslo Stock Exchange: TOM),City-wide reusable packaging system (Aarhus pilot — reduce waste from takeaway drinks),,,Denmark (Aarhus) and global,,,,,,TOMRA is the world leader in reverse vending machines.,,Implements a city wide resuable packaging system in Arahus to rduce waste packaging from takeway drinks  
"Giulia, 29/06",,Tosca ,"27/06, Jishnu",Reusable transport packaging ,Packaging Solutions,United Kingdom,info@toscaltd.com ,https://www.toscaltd.com/en-gb/,Yes,,,,Active,Private,Reusable durable transport containers for supply chains to minimise waste,,,United Kingdom and global,,,,,,,,Offers resuable and durable containers to minimse wast in supply chains for businesses 
Jishnu,,Totoya,low priority,Refill Stations,Consumer Goods,Japan,https://totoya-zerowaste.com/contact-us/,https://totoya-zerowaste.com/,Yes,,,,Active,Private,Zero-waste supermarket with BYOC system + digital RFID weight measures (Kyoto),,,Japan,,,,,,,,Kyoto zero waste supermarket pioneering refill/bulk shopping using a bring-your-own-containers system with digital RFID weight measures.
Prathmesh ,,Touch the Toes,low priority,Sustainable Goods,Consumer Goods,Singapore,hello@touchthetoes.com,https://touchthetoes.com/,,,,,,,,,,,,,,,,,,"Offering sustainably-made yoga apparel and mats, etc"
Mehak,,TRAMUCO (via COOPI initiative),low priority,Community-led recycling & reuse,Mixed waste materials reused/upcycled,Venezuela,,https://coopi.org/,,,,,,,,,,,,,,,,,,A women-led cooperative (72 members) trained in recycling to convert waste into usable resources and foster community resilience 
Giulia ,,Trash Hero Czech Republic ,not suitable currently,Reusable Packaging ,Consumer goods ,Czechia,ceskebudjovice@trashhero.org,https://trashhero.org/country/czech-republic/,,,,,,,,,,,,,,,,,,Offers refill programs: 673 water refill points and reusable bottle distribution. 
Kaat,,Trashit,low priority,Zero Waste ,Consumer Goods ,Pakistan,hello@trashit.pk,https://trashit.pk,,,,,,,,,,,,,,,,,,offers organic products
Jishnu,,Truly Free Home,"25/06, Jishnu",Refillable Products,Consumer Goods,United States,https://www.linkedin.com/company/trulyfreehome/,https://trulyfreehome.com/,Yes,,,,Active,Private,B2C plant-based cleaning/laundry concentrates + returnable bottle subscription (cut single-use plastic),,,United States,,,,,,,,"Offers plant-based cleaning and laundry concentrates delivered in returnable bottles and pouches, supporting a reusable-container subscription model to cut single-use plastic."
Jishnu,,TULU,not suitable currently,Shared Reuse services,Shared-use Rental Services,Israel,https://www.tulu.io/contact-us/,https://www.tulu.io/,Yes,,,,Active,Private startup,Platform enabling building owners to offer shared reuse services for household products,,,Israel,,,,,,,,"Platform enabling building owners to offer shared reuse services for household products, supporting circular-use models at a community scale."
Prathmesh,,Turtle Green,"26/06, Jishnu",Refill Stations,Consumer Goods,Canada,contact@turtlegreenrefillery.ca,https://turtlegreenrefillery.ca/,Yes,,,,Active,Private,DIY bodycare creation + bulk ingredient refills with in-store savings,,,Canada,,,,,,,,"Offers the possibility to create & refill DIY bodycare using bulk ingredients; in-store refill savings, along with sustainable packaging"
Jishnu,,UBQ Materials,not suitable currently,Zero Waste,Materials Supplier,Israel,https://www.ubqmaterials.com/contact/,https://www.ubqmaterials.com/,Yes,,,,Active,Private,Household waste converted to durable thermoplastic pellets for manufacturing (reducing virgin plastic),,,Israel,,,,,,,,"Converts household waste into durable thermoplastic pellets for reuse in manufacturing, thus reducing the need for conventional plastics or extracting natural resources."
Prathmesh,,Unboxed Market,"26/06, Jishnu",Reusable Packaging,Consumer Goods,Canada,info@unboxedmarket.com,https://unboxedmarket.com/,Yes,,,,Active,Private,Package-free fresh groceries + sustainable reusable packaging,,,Canada,,,,,,,,Minimises single-use plastic and offers sustainable Reusable Packaging for fresh groceries
Jishnu,,Uni (Space NK brand),"03/07, Jishnu",Refillable Products,Consumer Goods ,United Kingdom,https://help.spacenk.com/hc/en-us/requests/new?,https://www.spacenk.com/uk/brands/u/uni,Yes,,,,Active,Subsidiary (Space NK / Walgreens Boots Alliance),100% recycled aluminium refillable bodycare bottles and reusable dispenser pumps,,,United Kingdom,,,,,,,,Offers reef‑friendly bodycare products in 100 % recycled aluminium refillable bottles and reusable dispenser pumps designed for closed‑loop reuse.
Jishnu,,Uni Refill System,"24/06, Jishnu",Refillable Products,Consumer Goods ,United States,hello@weareuni.com,https://weareuni.com/,Yes,,,,Active,Private,Closed-loop bodycare with reusable aluminium dispensers + 100% recycled refill bottles (subscription),,,United States,,,,,,,,"Offers a closed-loop bodcare system featuring reusable aluminum dispensers and 100% recycled refill bottles sent via subscription, promoting sustainable reuse and waste reduction."
Sam,,Unibag,low priority,Reusable packaging ,Business Service Provider,Peru,https://unibag.com.pe/,ventas@unibag.cl,,,,,,,,,,,,,,,,,,"Manufacturer of durable, reusable produce and e‑commerce bags, focusing on eco‑design and post‑consumer return programs "
Sam,,Unilever ,low priority,Refillable Products,Consumer Goods ,Philippines,cec.philippines@unilever.com,https://www.unilever.com.ph/,Yes,,,,Active,Public listed (LSE: ULVR; NYSE: UL),Multiple brand-level refill initiatives globally,"127,000+ employees",,Global,,,,,,World's largest consumer goods company. Multiple brand-level refill initiatives globally.,,"Shcemes incentivising reuse, such as All Things Hair Reffilery "
Kaat,,Unilever ,low priority,Refill Stations,Consumer Goods ,Pakistan,raabta.upl@unilever.com,Unilever Pakistan | Unilever,Yes,,,,Active,Public listed (LSE: ULVR; NYSE: UL),Multiple brand-level refill initiatives globally,"127,000+ employees",,Global,,,,,,World's largest consumer goods company. Multiple brand-level refill initiatives globally.,,Installs refill stations in malls 
Jishnu,,Unilever (Sedal brand),"26/06, Jishnu",Refill Stations,Consumer Goods,Mexico,https://www.unilever.com.mx/contact/,https://www.unilever.com.mx/,Yes,,,,Active,Subsidiary (Unilever),Refillable aluminium Sedal shampoo bottles in Walmart stores (Mexico) — container return,,,Mexico,,,,,,,,Offers refillable aluminium bottles for Sedal shampoo in Walmart stores to reduce single-use plastic through container return.
Mehak,,"Unilever Colombia (FAB, Dirt is Good)",low priority,"PCR bottles, sustainable packaging",Household cleaning products,Colombia,Through Unilever Colombia press office,https://www.unilever.co/,,,,,,,,,,,,,,,,,,Public move toward reuse and PCR plastics in local brands
Kaat,,Unit Goods,not suitable currently,Refillable Products,Consumer Goods,Finland,https://www.instagram.com/unitgoods/,Website is down atm,,,,,,,,,,,,,,,,,,Store that provides refills for all kinds of food
Jishnu,,Unpackaged Eco (potentially closed?),7/7 Krita,Refillable Products,Consumer Goods ,Australia,support@unpackaged.eco,https://www.instagram.com/unpackagedeco,,,,,,,,,,,,,,,,,,"Melbourne-based shop where customers bring containers to refill household liquids and personal care products, then return containers for reuse."
Prathmesh ,,Unpackt,low priority,Zero Waste,Consumer Goods,Singapore,https://unpackt.com.sg/contact-us/,https://unpackt.com.sg/,Yes,unpackt,Yes,2017,Active,Private,Singapore's first package-free bulk food and lifestyle store,,,Singapore,,,,,,,,"Singapore’s first package‑free bulk food & lifestyle store. Bring your containers, refill grains, snacks, cleaning products and more"
Prathmesh,,Unscented Company,"27/06, Jishnu",Refillable Products,Consumer Goods,Canada,marketing@unscentedco.com,https://unscentedco.com/,Yes,unscentedco,Yes,2017,Active,Private,B2C refillable unscented household and personal care products,,,Canada,,,,,,,,Offers refillable household products aimed at reducing plastic waste​
Kaat,,Unverpackt,"27/06, Jishnu",Reusable products and refills,Consumer Goods ,Germany,https://shop.original-unverpackt.de/pages/fragen-kontaktier-uns,https://shop.original-unverpackt.de/collections,Yes,original_unverpackt,Yes,2014,Active,Private,B2C reusable packaging and bags + zero-waste retail (original zero-waste shop concept Germany),,,Germany,,,,,,,,"Offers Reusable Packaging and bags, and sells sustainable cosmetics, household products, gifts, etc"
Jishnu,,UrCup,not suitable currently,Reusable Packaging ,Business Service Provider,Poland,biuro@urcup.pl,https://urcup.pl/,Yes,,,,Active,Private,Reusable drinkware and foodware for events with full logistics and washing service,,,Poland,,,,,,,,"Offers reusable drinkware and foodware for events, including branded cups, plates, cutlery, logistics, washing, storage, and event services."
"Giulia, 29/06",,Uzaje ,29/06,Reuse supply chain ,Packaging solutions ,France,contact@uzaje.com ,https://uzaje.com/en/,Yes,,,,Active,Private,Industrial washing systems for reusable food packaging,,,France,,,,,,,,Offers industrial washing systems for reusable food packaging 
Jishnu,,V’s HOME – Veggie Restaurant & Café,low priority,Reusable Packaging,Consumer Goods,Vietnam,vipham1610@me.com,https://www.facebook.com/nhahangchayvshome,,,,,,,,,,,,,,,,,,"Vegetarian café serving food in reusable glass jars to take away, supporting reusable packaging while minimizing disposables."
Kaat,,Vegan Dükkan,not suitable currently,Organic Goods,Consumer Goods ,Turkey,info@vegandukkan.com,https://www.vegandukkan.com,Yes,,,,Active,Private,Vegan organic food with strong reuse promotion,,,Turkey,,,,,,,,Sells vegan and organic foods and higly promotes reuse 
Mehak,,"Venezolana de Reciclaje, C.A.",low priority,Plastic waste recovery & reuse,Recycled plastic raw material,Venezuela,https://www.venrecicla.com/contacto,https://www.venrecicla.com/,,,,,,,,,,,,,,,,,,"Processes 20,000 t/year of plastic waste, turning it into secondary raw materials for reuse in manufacturing ."
Mehak,,Venezuela Refill Initiative,low priority,Refillable packaging awareness,"Water bottles, detergents",Venezuela,contact@venezuelarefill.org,https://venezuelarefill.org/,,,,,,,,,,,,,,,,,,"NGO promoting refill stations for water and detergents, aiming to reduce plastic bottle use in public spaces and stores. Partnered with local shops and markets."
Jishnu,,Verde Market,"26/06, Jishnu",Refill Stations,Consumer Goods,United States,https://www.verdemarket.co/contact-us,https://www.verdemarket.co/,Yes,,,,Active,Private,Zero-waste grocery store with 300+ bulk and plastic-free goods and refill stations,,,United States,,,,,,,,Zero-waste grocery and sustainable lifestyle store featuring over 300 bulk and plastic-free goods with refill stations.
Sam,,VerdeMar,low priority,Reusable Packaging ,Consumer Goods ,Brazil ,"_x000D_
sac@verdemaratevoce.com.br",https://www.loja.verdemaratevoce.com.br/,,,,,,,,,,,,,,,,,,Cut down on single-use plastic bags; offers returnable shopping bags
Prathmesh ,,Vermont Soap,low priority,Refillable Products,Cleaning Materials,Singapore,admin@thecastilesoapshop.com,https://www.vermontsoapsingapore.com/,,,,,,,,,,,,,,,,,,Mobile refill van brings bulk cleaners to your doorstep—just reuse your bottles.
Jishnu,,Vietnam Zero Waste Alliance,low priority,Zero Waste advocacy,Community networking for sustainable practice ,Vietnam,vietnamzerowastealliance@gmail.com,https://zerowastevietnam.org/,Yes,,,,Active,Non-profit NGO coalition,Refillable glass jar condiment/oil projects + national reuse best practices promotion,,,Vietnam,,,,,,,,NGO coalition supporting reuse projects like refillable glass jars for condiments and oils and promoting national reuse best practices.
Prathmesh,,Village General Store,"01/07, Jishnu",Refill Stations,Consumer Goods,United States,hello@villagegeneralstore.co.,https://www.villagegeneralstore.co/,,,,,,,,,,,,,,,,,,"Focused on making the community more reliable by devilering refill stations, along with fulfilling online refill requests"
Jishnu,,Vytal,not suitable currently,Reusable Packaging ,Packaging Solutions,Germany,https://www.linkedin.com/company/vytal-global/,https://www.vytal.org/,Yes,vytal.global,Yes,2019,Active,Private,B2B app-managed deposit-return food containers,51-200 employees,"Restaurants, canteens, corporate food service","Germany, Europe",,,,,,App-managed QR return system. Partnership with major German delivery platforms.,,Offers a deposit-based reusable container system for take-away meals managed via app and logistic return networks.
Giulia ,,Vytal ,45840,Reusable Packaging ,Reusable Packaging ,Germany,info@vytal.org,https://www.vytal.org/,Yes,vytal.global,Yes,2019,Active,Private,B2B app-managed deposit-return food containers,51-200 employees,"Restaurants, canteens, corporate food service","Germany, Europe",,,,,,App-managed QR return system. Partnership with major German delivery platforms.,,Offers a deposit-based reusable container system for takeout and delivery food services across Germany
Jishnu,,Wasteless,not suitable currently,Software Provider,Consumer Services,Israel,hello@wasteless.com,https://www.wasteless.com/,Yes,,,,Active,Private startup,AI-based dynamic pricing to reduce supermarket food waste,,,Israel,,,,,,,,Reduces food waste through AI-based dynamic pricing.
Jishnu,,Wasteupso Zero-Waste Shop,low priority,Zero Waste,Consumer Goods,South Korea,contact@wasteupso.com,https://www.facebook.com/wasteupso/,,,,,,,,,,,,,,,,,,"Retailer offering packaged-free foods, reusable personal products, straws, and household items to reduce plastic use."
Jishnu,,WaterKiosk Africa,low priority,Refill Stations,Business Service Provider,Kenya,info@waterkiosk.africa,https://waterkiosk.africa/,Yes,,,,Active,Private social enterprise,Solar-powered desalination kiosks for community container water refills,,,Kenya,,,,,,,,"Installs solar powered desalination kiosks and purification stations where communities refill containers with clean water, replacing disposable sachets and bottles"
